num_trades,avg_trade_size,win_rate,long_short_ratio,daily_pnl,cluster
1909.0,15578.066878995556,0.21575816912527282,0.6557532382790265,800114.9099895,0
2426.6666666666665,1906.5233284896324,0.46955348697496196,0.755486937563531,15961.773504666666,0
952.25,14218.63613205118,0.36929299463699206,0.9064839493011134,-17609.0478295,0
4437.0,371.60323496414884,0.4847567564449653,0.7422423652535725,44154.93818466667,0
1079.6666666666667,2229.6514397989154,0.5360783250847444,0.6259821231064175,56219.334998,0
116.42857142857143,4641.725901359306,0.30277683157339325,0.0,-4457.657140857143,0
1794.5,4677.615483087406,0.4235405579745203,0.7751299442190669,7228.459668000001,0
166.0,3562.32316586833,0.48694812669414433,1.0582583498551168,26748.1236215,0
191.5,5522.192161395349,0.23009302325581393,0.32125500667556744,99752.79636600001,0
247.4,2762.4553335328515,0.46367791200848174,0.0,83308.3744682,0
2839.6666666666665,468.3365596854635,0.3537491294504847,0.8185922681343804,34447.905387,0
1452.0,9651.328961054363,0.4494324775411762,1.2360893221880846,225915.68354766667,0
1516.8,14823.156253910474,0.37072811639663555,1.0758562168293093,61795.173943199996,0
4078.6666666666665,24239.906480808688,0.27259817516018064,0.0,280140.85173866665,0
325.0,661.7168000965918,0.4601139601139601,0.5519911504424778,36243.738924,0
530.0,8598.57062716832,0.34457100555323206,0.7602349323452211,143118.52197166666,0
476.6666666666667,1899.3136578709102,0.3916019174412428,1.5331878413465843,134337.168053,0
1978.6,1846.8142402443991,0.6871135410055327,1.227996458602122,75819.0813422,0
779.5,20091.781643500646,0.6255469755469756,2.3961937716262978,7450.2215235,0
1533.6666666666667,2232.1453708551485,0.2880338260958834,0.0,-55873.70826033334,0
637.0,4398.446222602147,0.22270790280409222,3.411652516303679,21837.885968666666,0
3749.5,912.7630141680638,0.26453341847716555,0.8701808048110009,10979.252244,0
1017.3333333333334,4449.854833323051,0.16082683282380306,23.414087110708692,42192.98071133333,2
5201.666666666667,1283.5768803428782,0.35079305016447826,1.820128360089905,35434.291752,0
139.0,3460.7354680222347,0.4773045688426012,1.555379746835443,24282.161424,0
187.66666666666666,2981.622475372886,0.4065893691134805,1.6732988130704118,22615.206510333333,0
267.0,5151.995371428571,0.27301587301587305,2.401315789473684,10879.4158765,0
2455.5,4587.336474130545,0.30641706037735206,0.7868293831106672,357230.4329481667,0
4838.0,22504.555828854896,0.4386109962794543,0.9587044534412955,22488.500821,0
10596.0,1608.8975932043418,0.7337659273242095,0.5600300150075037,470081.90311,1
880.3333333333334,7887.472397647238,0.17730759401635734,0.7895413394387516,73506.35395099998,0
13394.666666666666,1968.745114850234,0.4390458840160791,0.7572742184436726,278693.5176923333,1
